original,simplified
Guten Tag,Hallo.
"Liebste, Ich heiße Zita Blanc, bin ein einziges Mädchen, französischer Staatsbürger, Ich möchte Ihre Dienste als Partner /",Mein Name ist Zita Blanc. Ich komme aus Frankreich und ich habe keine Geschwister. Kannst du mir helfen?
"Investor anfragen und mich dabei unterstützen, mein Geld zu transferieren und zu verwalten, indem ich in gewinnbringende Projekte wie den Kauf von Unternehmensanteilen oder den Real Estate Investment Trust-Fonds investiere.",Ich möchte Geld überweisen. Mit dem Geld will ich Teile von Firmen kaufen. Ich will damit Geld verdienen. Das nennt man: investieren.
Ich bin jetzt nicht in Frankreich.,Ich bin nicht in Frankreich und ich bin ganz allein.
"Ich habe eine vernünftige Summe, die ich von meinem Stiefvater Mr. Desmond Blanc geerbt habe.",Mein Stief·Vater ist gestorben. Ich habe viel Geld von ihm bekommen. Das nennt man: erben.
Bitte nehmen Sie mich wie Ihre Tochter oder Ihre Schwester.,Du sollst mir helfen wie deiner Familie.
"Im Anhang sind meine persönlichen Fotos, der Nachweis der Hinterlegung des Fonds, mein internationaler Reisepass und die Sterbeurkunde meines verstorbenen Vaters in Frankreich sowie der rechtliche Wille.",Und du sollst mir auf jeden Fall glauben. Deswegen habe ich viele Dokumente kopiert. Ich habe dir die Kopien geschickt.
"Ich sende all dies, damit Sie darauf vertrauen können, dass Sie mit einer echten Person zu tun haben.",Denn ich bin ein richtiger Mensch. Ich bin kein Betrüger. Das kannst du auf jeden Fall glauben.
"Bitte antworten Sie mir, sobald Sie diese Nachricht und die Dokumente gelesen haben, damit ich wissen kann, wie ich vorgehen soll.",Bitte antworte mir. Dann sehen wir weiter.
Freundliche Grüße Fräulein Zita Blanc.,Liebe Grüße von Zita Blanc.
